# MSlice Cut of workspace "PLET_thf_background_summed_1.05meV_coh_rings"
# Cut axis: DeltaE,-3.0,0.699999988079071,0.014979757368564606
# Integration axis: |Q|,0.3,0.4,0.0
# (Energy Transfer (meV)) (Signal) (Error)
-3.000000000e+00          nan          nan
-2.984959350e+00          nan          nan
-2.969918699e+00          nan          nan
-2.954878049e+00          nan          nan
-2.939837399e+00          nan          nan
-2.924796748e+00          nan          nan
-2.909756098e+00          nan          nan
-2.894715447e+00          nan          nan
-2.879674797e+00          nan          nan
-2.864634147e+00          nan          nan
-2.849593496e+00          nan          nan
-2.834552846e+00          nan          nan
-2.819512196e+00          nan          nan
-2.804471545e+00          nan          nan
-2.789430895e+00          nan          nan
-2.774390245e+00          nan          nan
-2.759349594e+00          nan          nan
-2.744308944e+00          nan          nan
-2.729268294e+00          nan          nan
-2.714227643e+00          nan          nan
-2.699186993e+00          nan          nan
-2.684146342e+00          nan          nan
-2.669105692e+00          nan          nan
-2.654065042e+00          nan          nan
-2.639024391e+00          nan          nan
-2.623983741e+00          nan          nan
-2.608943091e+00          nan          nan
-2.593902440e+00          nan          nan
-2.578861790e+00          nan          nan
-2.563821140e+00          nan          nan
-2.548780489e+00          nan          nan
-2.533739839e+00          nan          nan
-2.518699189e+00          nan          nan
-2.503658538e+00          nan          nan
-2.488617888e+00          nan          nan
-2.473577237e+00          nan          nan
-2.458536587e+00          nan          nan
-2.443495937e+00          nan          nan
-2.428455286e+00          nan          nan
-2.413414636e+00          nan          nan
-2.398373986e+00          nan          nan
-2.383333335e+00          nan          nan
-2.368292685e+00          nan          nan
-2.353252035e+00          nan          nan
-2.338211384e+00          nan          nan
-2.323170734e+00          nan          nan
-2.308130084e+00          nan          nan
-2.293089433e+00          nan          nan
-2.278048783e+00          nan          nan
-2.263008132e+00          nan          nan
-2.247967482e+00          nan          nan
-2.232926832e+00          nan          nan
-2.217886181e+00          nan          nan
-2.202845531e+00          nan          nan
-2.187804881e+00          nan          nan
-2.172764230e+00          nan          nan
-2.157723580e+00          nan          nan
-2.142682930e+00          nan          nan
-2.127642279e+00          nan          nan
-2.112601629e+00          nan          nan
-2.097560979e+00          nan          nan
-2.082520328e+00          nan          nan
-2.067479678e+00          nan          nan
-2.052439027e+00          nan          nan
-2.037398377e+00          nan          nan
-2.022357727e+00          nan          nan
-2.007317076e+00          nan          nan
-1.992276426e+00          nan          nan
-1.977235776e+00          nan          nan
-1.962195125e+00          nan          nan
-1.947154475e+00          nan          nan
